epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20772.4,1.56351,0.75891,1.20277,0.4264,0.27816,0.30685,0.15824,2.30267,3.67308,1.46604,0.0005941,0.0005941,0.0005941
43,21214.7,1.55958,0.76353,1.19207,0.30897,0.34928,0.32084,0.16978,2.2737,3.81473,1.48937,0.0005842,0.0005842,0.0005842
44,21768.1,1.56115,0.75808,1.19456,0.28865,0.34764,0.30044,0.15777,2.38584,3.88446,1.5905,0.0005743,0.0005743,0.0005743
45,22226.2,1.55593,0.75932,1.19118,0.42323,0.27781,0.32453,0.16817,2.33337,3.70462,1.54581,0.0005644,0.0005644,0.0005644
46,22656,1.55239,0.748,1.18689,0.2951,0.3507,0.31582,0.16346,2.30514,3.71721,1.50618,0.0005545,0.0005545,0.0005545
47,23193.5,1.54659,0.7434,1.18553,0.34791,0.3212,0.33397,0.16812,2.378,3.60277,1.58172,0.0005446,0.0005446,0.0005446
48,23742.2,1.5384,0.74204,1.18909,0.36377,0.29793,0.32252,0.16547,2.385,3.73436,1.58131,0.0005347,0.0005347,0.0005347
49,24196.8,1.53484,0.74063,1.18157,0.31566,0.36974,0.32814,0.17274,2.28195,3.77062,1.50009,0.0005248,0.0005248,0.0005248
50,24629.1,1.54146,0.74061,1.18723,0.37043,0.3331,0.35064,0.17946,2.24333,3.5491,1.47297,0.0005149,0.0005149,0.0005149
51,25071,1.52678,0.73297,1.1798,0.32626,0.35793,0.34786,0.17284,2.38835,3.67419,1.58323,0.000505,0.000505,0.000505
52,25513.9,1.53594,0.73208,1.17811,0.33464,0.30595,0.34278,0.17228,2.34581,3.67822,1.53942,0.0004951,0.0004951,0.0004951
53,25953,1.52794,0.72838,1.17886,0.32078,0.35087,0.3341,0.17419,2.28932,3.59945,1.50544,0.0004852,0.0004852,0.0004852
54,26396,1.52663,0.72883,1.1796,0.34465,0.34743,0.33137,0.17163,2.34756,3.76405,1.54299,0.0004753,0.0004753,0.0004753
55,26840.9,1.52118,0.7254,1.17591,0.33322,0.35456,0.33883,0.17702,2.30755,3.80411,1.52432,0.0004654,0.0004654,0.0004654
56,27280.4,1.51897,0.72055,1.17347,0.32936,0.36214,0.34531,0.17895,2.30912,3.65518,1.5311,0.0004555,0.0004555,0.0004555
57,27828,1.5118,0.71685,1.16663,0.31917,0.36584,0.34365,0.17344,2.29707,3.65126,1.51352,0.0004456,0.0004456,0.0004456
58,28261.1,1.51391,0.72013,1.16529,0.32942,0.3698,0.34528,0.18065,2.30582,3.7627,1.52786,0.0004357,0.0004357,0.0004357
59,28798.2,1.51539,0.7187,1.16531,0.32002,0.36342,0.33903,0.17866,2.25515,3.68122,1.49037,0.0004258,0.0004258,0.0004258
60,29346.6,1.50656,0.70993,1.15816,0.33724,0.36481,0.35404,0.18047,2.34417,3.56596,1.54081,0.0004159,0.0004159,0.0004159
61,29805.7,1.50107,0.70936,1.16207,0.35037,0.35392,0.34543,0.1769,2.33177,3.65307,1.52993,0.000406,0.000406,0.000406
62,30240.7,1.50755,0.71103,1.16084,0.34718,0.35564,0.34685,0.17656,2.30157,3.73989,1.5067,0.0003961,0.0003961,0.0003961
63,30695.2,1.49458,0.70074,1.15269,0.33454,0.3584,0.33916,0.17593,2.31876,3.74245,1.53058,0.0003862,0.0003862,0.0003862
64,31133.1,1.49015,0.70044,1.15633,0.34824,0.35009,0.33742,0.17515,2.3489,3.80168,1.54915,0.0003763,0.0003763,0.0003763
65,31638.3,1.48953,0.69796,1.15206,0.33899,0.35712,0.34456,0.17562,2.32066,3.70973,1.52923,0.0003664,0.0003664,0.0003664
66,32058.5,1.47587,0.69367,1.14497,0.34618,0.35193,0.3494,0.18142,2.33594,3.68956,1.53979,0.0003565,0.0003565,0.0003565
67,32487.8,1.48307,0.69221,1.14772,0.36839,0.33903,0.34544,0.17757,2.35064,3.76866,1.54235,0.0003466,0.0003466,0.0003466
68,33024.8,1.48581,0.68976,1.15153,0.37028,0.34372,0.34471,0.17847,2.32533,3.71915,1.50831,0.0003367,0.0003367,0.0003367
69,33479.2,1.47146,0.68501,1.14998,0.35163,0.3594,0.35143,0.17896,2.32667,3.66778,1.54234,0.0003268,0.0003268,0.0003268
70,33892.9,1.47572,0.68546,1.14863,0.35393,0.35873,0.34755,0.17671,2.30712,3.76606,1.52562,0.0003169,0.0003169,0.0003169
71,34309.6,1.46724,0.68136,1.14125,0.36271,0.3559,0.34992,0.18082,2.30734,3.74206,1.52764,0.000307,0.000307,0.000307
72,34847.4,1.47306,0.6824,1.14577,0.35822,0.36289,0.35242,0.18052,2.35821,3.69367,1.56524,0.0002971,0.0002971,0.0002971
73,35284.2,1.45584,0.6769,1.14299,0.35319,0.36022,0.35254,0.18232,2.30789,3.67519,1.53363,0.0002872,0.0002872,0.0002872
74,35717.9,1.47121,0.67691,1.14363,0.3653,0.34992,0.34709,0.17928,2.33708,3.68009,1.54508,0.0002773,0.0002773,0.0002773
75,36160.6,1.47472,0.67819,1.14581,0.35643,0.34616,0.3431,0.1772,2.34989,3.69574,1.53805,0.0002674,0.0002674,0.0002674
76,36612.3,1.45723,0.66741,1.14824,0.37173,0.34544,0.34653,0.18163,2.33488,3.68745,1.54148,0.0002575,0.0002575,0.0002575
77,37167.4,1.45747,0.66802,1.13298,0.36764,0.34499,0.34888,0.18356,2.32933,3.74871,1.54426,0.0002476,0.0002476,0.0002476
78,37597.9,1.45169,0.66931,1.13677,0.35641,0.35061,0.34528,0.18279,2.30836,3.79208,1.52324,0.0002377,0.0002377,0.0002377
